Name,Year
Friends: The Stuff You've Never Seen ,2001
Friendship! ,2010
Fright Fest ,2018
Fright Night ,1985
Fright Night 2 ,2013
"Frighteners, The ",1996
"frigjorte, De ",1993
Frio sol de invierno ,2004
"Frisco Kid, The ",1979
Frits en Freddy ,2010
Fritt vilt (Cold Prey) ,2006
Fritt vilt II (Cold Prey 2) ,2008
Fritt vilt III (Cold Prey 3) ,2010
Fritz The Cat ,1972
"Frogmen, The ",1951
Frogs ,1972
From a House on Willow Street ,2016
From Beyond ,1986
From Dusk Till Dawn ,1996
From Dusk Till Dawn 2: Texas Blood Money ,1999
From Hell ,2001
From Hell to the Wild West ,2017
From Here to Eternity ,1953
From Justin to Kelly ,2003
From Mexico with Love ,2009
From Paris With Love ,2010
From Prada To Nada ,2011
From Russia With Love (James Bond 007) ,1963
From Straight A's to XXX ,2017
From the Dark ,2014
From the Sky Down ,2011
From the Terrace ,1960
From Time to Time ,2009
From Vegas to Macau II ,2015
From Within ,2008
Front Cover ,2015
Front of the Class ,2008
Front Page Woman ,1935
Frontera ,2014
Frontier Marshal ,1939
Frost/Nixon ,2008
Frosty the Snowman ,1969
Frozen ,2010
Frozen ,2013
Frozen Fever ,2015
Frozen in Love ,2018
Frozen Kiss ,2009
Frozen River ,2008
Fruitvale Station ,2013
FryDay ,2018
Fu chou (Vengeance) ,2009
Fu gui bing tuan (Code of Fortune) ,1989
Fu rong zhen (Hibiscus Town) ,1986
Fubar ,2011
Fuck Up ,2012
Fuga ,2006
Fuga dal paradiso (Escape from Paradise) ,1990
Fugitive at 17 ,2012
Fugitive Hunter ,2005
Fugitive Pieces ,2007
"Fugitive, The ",1993
Fujoshi Kanojo (How to Date an Otaku Girl AKA My Geeky Girlfriend) ,2009
Fukrey ,2013
Fukrey Returns ,2017
Full Court Miracle ,2003
Full Frontal ,2002
Full House ,1952
Full Metal Jacket ,1987
"Full Monty, The ",1997
Full Moon High ,1981
Full of Grace ,2015
Full Of It ,2007
Full Out ,2015
Fullmetal Alchemist ,2017
Fullmetal Alchemist the Movie: Conqueror of Shamballa ,2005
Fun and Fancy Free ,1947
Fun Mom Dinner ,2017
Fun Size ,2012
Fun with Dick and Jane ,1977
Fun with Dick and Jane ,2005
Funeral in Berlin ,1966
Funeral Kings ,2012
"Funeral, The ",1996
Fung wan II (Storm Warriors AKA Storm Riders 2) ,2009
Funky Monkey ,2004
Funny About Love ,1990
Funny Cow ,2017
Funny Face ,1957
Funny Farm ,1988
Funny Games ,1997
Funny Games U.S. ,2007
Funny Money ,2006
Funny People ,2009
Funny Story ,2018
Fuoco! ,1968
Fuocoammare ,2016
Fur: An Imaginary Portrait of Diane Arbus ,2006
Furie ,2019
"Furies, The ",1950
Furious 6 ,2013
Furious 7 ,2015
Furlough ,2018
Furry Vengeance ,2010
Fury ,1936
Fury ,2014
Fury at Furnace Creek ,1948
Fury of the Fist and the Golden Fleece ,2018
"Fury, The ",1978
Futurama: Bender's Big Score ,2007
Futurama: Bender's Game ,2008
Futurama: Into the Wild Green Yonder ,2009
Futurama: The Beast With A Billion Backs ,2008
Future of Hope ,2010
Future Weather ,2012
Future World ,2018
Futureworld ,1976
Fyre ,2019
Fyre Fraud ,2019
'G' Men ,1935
G O'Clock ,2016
G-Force ,2009
G-Funk ,2017
G.B.F. ,2013
G.I. Blues ,1960
G.I. Jane ,1997
G.I. Joe: Retaliation ,2013
G.i. Joe: The Rise Of Cobra ,2009
G.O.R.A. ,2004
Ga-bi (Gabi) ,2012
Gaayam ,1993
Gabbar Is Back ,2015
Gabbar Singh ,2012
Gabriel ,2007
Gabriel Over the White House ,1933
Gabrielle ,2005
Gacy House ,2010
Gadajace glowy (Talking Heads) ,1980
Gadgetgang in Outerspace ,2017
Gadjo Dilo (The Crazy Stranger) ,1997
Gafla ,2006
Gaga Five Foot Two ,2017
Gagman ,1989
Gake no ue no Ponyo (Ponyo On The Cliff By The Sea) ,2008
Galapagos: Realm of Giant Sharks ,2014
Galaxy of Horrors ,2017
Galaxy of Terror ,1981
Galaxy Quest ,1999
Galaxy Turnpike ,2015
Gali Gali Chor Hai ,2012
Gallant Ladies ,1990
Gallipoli ,1981
Gallows Road ,2015
Gallowwalkers ,2012
Galveston ,2018
Gam yee wai (14 Blades) ,2010
Gambit ,2012
"Gambler, The ",1974
Game Change ,2012
Game Night ,2018
Game of Aces ,2016
Game of Assassins ,2013
Game of Death ,1978
Game of Death ,2010
"Game Over, Man! ",2018
"Game Plan, The ",2007
"Game, The ",1997
Gamer ,2009
Gamera: Guardian of the Universe ,1995
"Gamers, The ",2002
"Gamers: Dorkness Rising, The ",2008
Gamgi ,2013
Gandhi ,1982
Gandhi My Father ,2007
Gandhinagar 2nd Street ,1986
Gang of Ghosts ,2014
Gang Related ,1997
Gang-jeok (Les Formidables) ,2006
Gangaa Jamunaa Saraswathi ,1988
Gangaajal ,2003
Gangnam 1970 ,2015
Gangnam Blues ,2015
Gangs of New York ,2002
Gangs of Wasseypur ,2012
Gangs of Wasseypur 2 ,2012
Gangsta Granny ,2013
Gangster ,2006
Gangster Land ,2017
Gangster No. 1 ,2000
Gangster Squad ,2013
Gangsterdam ,2017
Ganja & Hess ,1973
Gantz ,2011
Gantz: O ,2016
Garage Sale Mysteries: Picture A Murder ,2018
Garage Sale Mysteries: The Mask Murder ,2017
Garage Sale Mystery: All That Glitters ,2014
Garage Sale Mystery: Murder Most Medieval ,2017
Garage Sale Mystery: Pandora's Box ,2018
Garage Sale Mystery: The Beach Murder ,2017
Garage Sale Mystery: The Deadly Room ,2015
Garage Sale Mystery: The Wedding Dress ,2015
Garbo Talks ,1984
Garden of Evil ,1954
Garden Party ,2008
Garden State ,2004
Gardens of Stone ,1987
Gardens of the Night ,2008
Garfield ,2004
Garfield Gets Real ,2007
Garfield: A Tail of Two Kitties ,2006
Garfield: His 9 Lives ,1988
Garo: Red Requiem ,2010
Garoojigi (A Tale of Legendary Libid) ,2008
Gary Barlow: On Her Majesty's Service ,2012
"Gas, Food Lodging ",1992
Gascoigne ,2015
Gasing Tengkorak ,2017
Gasland Part II ,2013
Gaslight ,1944
Gaslight ,1940
Gaston Lagaffe ,2018
Gatao 2: Rise of the King ,2018
Gate 2: The Trespassers ,1990
Gator ,1976
Gattaca ,1997
"gatto nel cervello, Un (Nightmare Concert) a.k.a A Cat in the Brain ",1990
Gau lung bing sat (Reisen) ,2001
Gauri: The Unborn ,2007
Gautamiputra Satakarni ,2017
Gay ,2004
"Gay Sisters, The ",1942
Gayatri ,2018
Gayby ,2012
Gayby Baby ,2015
Gedo Senki ,2006
Gedo senki (Tales from Earthsea) ,2006
Geek Charming ,2011
Geetha Govindam ,2018
Geethanjali ,2014
Gehenna: Where Death Lives ,2016
Gehrayee ,1980
Geisha vs Ninja (Geisha Assassin) ,2008
Gekijo-ban Sword Art Online: Ordinal Scale ,2017
Gekijoban Pocket Monster Best Wishes! Kyurem vs Seikenshi Keldeo ,2012
Gekijouban Bleach: Jigokuhen (Bleach: Hell Verse) ,2010
Gekijouban K: Missing Kings ,2014
Gekijouban Naruto: Buraddo purizun (Naruto Shippuden the Movie 5 - Blood Prison) ,2011
Gekijouban Psycho-Pass ,2015
Gekijouban Sengoku basara: The Last Party ,2011
Gekijouban Tiger & Bunny: The Beginning ,2012
Gemide ,1998
Gemini ,2017
Gemma Bovery ,2014
"Gendarme et les extra-terrestres, Le (The Gendarme and the Creatures from Outer Space) ",1979
"Gendarme Et Les Gnedarmettes, Le (Never Play Clever Again) ",1982
"Gene Generation, The ",2007
General Commander ,2019
General Education ,2012
General Luna ,2015
"General, The ",1926
Generation Iron ,2013
Generational Sins ,2017
Genesis ,2018
Genesis: Paradise Lost ,2017
Genevieve ,1953
Genghis Khan ,1965
Genius ,2016
Genius on Hold ,2012
Genius Party ,2007
Genius Party Beyond ,2008
Genocidal Organ ,2016
Gentleman ,1993
Gentleman Broncos ,2009
Gentleman Jim ,1942
Gentleman's Agreement ,1947
Gentlemen Broncos ,2009
Gentlemen Prefer Blondes ,1953
Geography Club ,2013
George and the Dragon ,2004
George Carlin: Doin' It Again ,1990
George Carlin: Life Is Worth Losing ,2005
George Carlin: You Are All Diseased ,1999
George Harrison: Living in the Material World ,2011
George of the Jungle ,1997
George of the Jungle 2 ,2003
George Washington ,2000
Georgia O'Keeffe ,2009
Georgia Rule ,2007
Georgy Girl ,1966
Geostorm ,2017
Gerald McBoing-Boing ,1950
Gerald's Game ,2017
Germ ,2013
German Angst ,2015
Germania ,2012
Germinal ,1993
Gernika ,2016
Geronimo ,1962
Geronimo: An American Legend ,1993
Gerontophilia ,2013
Gerry ,2002
Gerry ,2011
Gervaise ,1956
Get a Clue ,2002
Get a Horse! ,2013
Get a Job ,2016
Get Big ,2017
Get Carter ,2000
Get Hard ,2015
Get Him to the Greek ,2010
Get Lucky ,2013
Get on the Bus ,1996
Get on Up ,2014
Get Out ,2017
Get Out Alive ,2016
Get Over It! ,2001
Get Real ,1998
Get Rich or Die Tryin' ,2005
Get Santa ,2014
Get Shorty ,1995
Get Smart ,2008
Get the Girl ,2017
Get The Gringo ,2012
Get the Sucker Back ,2017
Getaway ,2013
"Getaway, The ",1972
"Getaway, The ",1994
Gethu ,2016
Gett ,2014
Getting Played ,2006
Getting Schooled ,2017
Gettysburg ,1993
Geu nom moksori (Voice of a Murderer) ,2007
Geuk jang jeon (Tale of Cinema) ,2005
Ghajini ,2008
Ghajini ,2005
Ghajinikanth ,2018
Ghanchakkar ,2013
Ghatak: Lethal ,1996
Ghayal ,1990
Ghayal Once Again ,2016
Ghazal ,1976
Ghett'a Life ,2011
Ghost ,1990
"Ghost And The Darkness, The ",1996
Ghost Bride ,2013
Ghost Dog: The Way of the Samurai ,1999
Ghost House ,2017
Ghost in a Teeny Bikini ,2006
Ghost in the Machine ,1993
Ghost in the Shell ,1995
Ghost in the Shell ,2017
Ghost in the Shell Arise - Border 1: Ghost Pain ,2013
Ghost in the Shell Arise: Border 2 - Ghost Whisper ,2013
Ghost Light ,2018
Ghost Machine ,2009
Ghost of Camp Blood ,2018
"Ghost of Frankenstein, The ",1942
Ghost of Goodnight Lane ,2014
Ghost of Mae Nak ,2005
Ghost Patrol ,2016
Ghost Recon: Alpha ,2012
Ghost Rider ,2007
Ghost Rider: Spirit of Vengeance ,2012
Ghost Shark ,2013
Ghost Ship ,2002
Ghost Soup ,1992
Ghost Source Zero ,2017
Ghost Squad ,2015
Ghost Stories ,2018
Ghost Storm ,2011
Ghost Story ,1981
Ghost Team ,2016
Ghost Team One ,2013
Ghost Tour ,2015
Ghost Town ,2008
Ghost Warrior ,1984
Ghost World ,2001
"Ghost Writer, The ",2010
Ghostbox Cowboy ,2018
Ghostbusters ,2016
Ghostbusters ,1984
Ghostbusters II ,1989
Ghosthunters ,2016
Ghostland ,2018
Ghostline ,2015
Ghosts ,1997
Ghosts ,2006
Ghosts Can't Do It ,1989
Ghosts of Darkness ,2017
Ghosts Of Girlfriend Past ,2009
Ghosts of Machu Picchu ,2010
Ghosts of Mars ,2001
Ghosts of Mississippi ,1996
Ghosts Of The Abyss ,2004
Ghostumentary ,2015
Ghostwatch ,1992
Ghoul ,2015
Gia ,1998
Gianni e le donne (The Salt of Life) ,2011
Giant ,1956
Giant Little Ones ,2018
Gibraltar ,2013
Gidget ,1959
Gie ,2005
Gift ,2014
"Gift, The ",2000
Gifted ,2017
Gifted Hands: The Ben Carson Story ,2009
Gigante ,2009
Gigantic ,2008
Gigi ,1958
Gigli ,2003
Gilbert ,2017
Gilda ,1946
Gimme Danger ,2016
Gimme Shelter ,1970
Gimme Shelter ,2013
Gimme the Loot ,2012
Gin gwai ,2002
Ginger & Rosa ,2012
Ginger and Fred ,1986
Ginger Snaps ,2000
Ginger Snaps 2: Unleashed ,2004
Gingerclown ,2013
Gintama ,2017
Gintama 2 ,2018
"Gioco da ragazze, Un ",2008
Giorgino ,1994
"Giorno speciale, Un (A Special Day) ",2012
Giovanni's Island ,2014
Gippi ,2013
"Girasoles ciegos, Los (The Blind Sunflowers) ",2008
Girl ,1998
Girl ,2018
Girl Asleep ,2015
Girl Crazy ,1943
Girl Flu ,2016
Girl Flu. ,2016
"Girl from the Naked Eye, The ",2012
Girl in a Cage ,2009
Girl in Captivity Psycho Torture Chamber ,2008
Girl in Progress ,2011
Girl in the Bunker ,2018
Girl in the News ,1940
"Girl in the Park, The ",2007
Girl in Woods ,2016
Girl Lost ,2018
Girl Model ,2011
Girl Most Likely ,2012
Girl on a Bicycle ,2013
Girl on the Edge ,2015
Girl Rising ,2013
Girl vs. Monster ,2012
Girl Walks Into a Bar ,2011
Girl With A Pearl Earring ,2003
"Girl With The Dragon Taroo, The ",2009
"Girl with the Dragon Tattoo, The ",2011
"Girl, Boy, Bakla, Tomboy ",2013
"Girl, Interrupted ",1999
"Girl, The ",2012
Girl/Girl Scene ,2019
Girlfight ,2004
Girlfriend ,2004
"Girlfriend Experience, The ",2009
Girlfriend's Day ,2017
Girlfriends ,1978
Girlfriends of Christmas Past ,2016
GirlHouse ,2014
Girls Against Boys ,2012
Girls for Sale ,2016
Girls Gone Dead ,2012
Girls Just Want to Have Fun ,1985
Girls Trip ,2017
Girls vs Gangsters ,2018
Girls with Balls ,2018
Girls! Girls! Girls! ,1962
Gitano (Gypsy) ,2000
Giulietta degli spiriti (Juliet of the Spirits) ,1965
Give Me a Sailor ,1938
Give Me the Banjo ,2011
Give Seven Days ,2014
Gladiator ,2000
Gladiator ,1992
Gladiatori di Roma (Not Born to Be Gladiators) ,2012
Gladiatress ,2004
Glass ,2015
Glass ,2019
Glass Chin ,2014
"Glass House, The ",2001
Glass House: The Good Mother ,2006
Glass Jaw ,2018
Glassland ,2014
Gleason ,2016
Glee: The 3D Concert Movie ,2011
Glengarry Glen Ross ,1992
"Glenn Miller Story, The ",1954
"Glimmer Man, The ",1996
Glitch ,2015
Gloria ,2013
Gloria Bell ,2019
Glorious 39 ,2009
Glory ,1989
Glory Road ,2006
Glossary of Broken Dreams ,2018
Gloves Off ,2017
Glyndebourne: The Untold History ,2014
GMO OMG ,2013
Gnomeo and Juliet ,2011
Go ,1999
Go ,2001
Go Away Mr. Tumor ,2015
Go Brother! ,2018
Go Fast ,2008
Go for Broke! ,1951
Go for It! ,2010
Go Go Tales ,2007
Go Lala Go! 2 ,2015
Go North ,2017
Go Tell the Spartans ,1978
Go Trabi Go ,1991
Go West ,1940
Go West ,2005
Go West Young Man ,1936
Go-hyang-i: Jook-eum-eul Bo-neun Doo Gae-eui Noon(The Cat) ,2011
Go-ji-jeon (The Front Line) ,2011
Goal II: Living the Dream ,2007
Goal of the Dead ,2014
Goal! ,2005
Goal! III: Taking On The World ,2009
Goalie ,2019
Goat ,2016
Goats ,2012
Goblin ,2010
God Bless America ,2011
God Bless the Broken Road ,2018
God Help the Girl ,2014
God Loves Uganda ,2013
God of Love ,2010
God of War ,2017
God On Trial ,2008
God Sex and Truth ,2018
God's Country ,2012
God's Not Dead ,2014
God's Not Dead 2 ,2016
God's Not Dead: A Light in Darkness ,2018
God's Own Country ,2017
God's Pocket ,2014
God: Serengeti ,2017
Goddess ,2013
Goddess Of Love ,2015
"Godelureaux, Les (Wise Guys) ",1961
Godfather ,2006
"Godfather, The ",1972
"Godfather: Part II, The ",1974
"Godfather: Part III, The ",1990
Godhi Banna Sadharana Mykattu ,2016
Godless Youth ,2017
"Godmother, The ",2010
Gods and Generals ,2003
Gods and Monsters ,1998
"Gods Must Be Crazy II, The ",1989
"Gods Must Be Crazy, The ",1980
Gods of Egypt ,2016
Godsend ,2004
Godspeed ,2016
Godzilla ,1998
Godzilla ,2014
Godzilla 2000 ,1999
Godzilla's Revenge ,1969
"Godzilla, King of the Monsters! ",1956
Godzilla: King of the Monsters ,2019
Godzilla: The Planet Eater ,2018
Goemon ,2009
Goethe! ,2010
Gogal ,2008
Gohatto (Taboo) ,1999
Goin' South ,1978
Goin' to Town ,1935
Going All the Way ,1997
Going Attractions: The Definitive Story of the American Drive-in Movie ,2013
Going Berserk ,1983
Going Clear: Scientology and the Prison of Belief ,2015
Going for Gold ,2018
Going in Style ,1979
Going in Style ,2017
Going My Way ,1944
Going Postal ,2010
Going The Distance ,2010
Going to Brazil ,2016
Going to the Mat ,2004
Going Under ,2004
Gojira ,1954
Gojira Ni-sen Mireniamu (Godzilla Millenium) ,1999
Gojira Tai Mekagojira (Godzilla X Mechagodzilla) ,2002
Gol-deun seul-leom-beo ,2018
Golchehreh ,2011
Gold ,1974
Gold Diggers of 1933 ,1933
Gold Diggers of 1935 ,1935
Gold Diggers of 1937 ,1936
"Gold Rush, The ",1925
Golden Boy ,1939
"Golden Boys, The ",2008
"Golden Compass, The ",2007
Golden Earrings ,1947
Golden Job ,2018
Golden Kingdom ,2015
Golden Slumber ,2010
"Golden Voyage of Sinbad, The ",1974
Golden Years ,2016
GoldenEye ,1995
GoldenEye (James Bond 007) ,1995
Goldfinger (James Bond 007) ,1964
Goldstone ,2016
Golemata voda ,2004
Golgo 13: The Professional ,1983
Goli Soda 2 ,2018
Goliath ,2008
Goliyon Ki Rasleela Ram-Leela ,2013
Golmaal ,2006
Golmaal 3 ,2010
Golmaal Returns ,2008
Golmaal: Fun Unlimited ,2006
Goltzius and the Pelican Company ,2012
Gomorra ,2008
Gonderilmemis mektuplar ,2003
Gone ,2006
Gone ,2012
Gone Are the Days ,2018
Gone Baby Gone ,2007
Gone Doggy Gone ,2014
Gone Fishin' ,1997
Gone Girl ,2014
Gone In 60 Seconds ,2000
Gone to Earth ,1950
Gone with the Bullets ,2014
Gone with the Wind ,1939
Gong fu guan lan (Kung Fu Dunk) ,2008
Gong Fu Yong Chun (Kung Fu Wing Chun) ,2010
Gong-mo-ja-deul (Traffickers) ,2012
Gongdong gyeongbi guyeok JSA ,2000
Gongdong Gyeongbi Guyeok JSA (J.S.A.: Joint Security Area) ,2000
Gongjo ,2017
Gonin Saga ,2015
Gonjiam: Haunted Asylum ,2018
Goo-reu-meul beo-eo-nan dal-cheo-reom (Blades Of Blood) ,2010
Good ,2008
Good Boy! ,2003
"Good Boy, Bad Boy ",2007
Good Bye Lenin! ,2003
Good Deeds ,2012
Good Dick ,2008
"Good Doctor, The ",2011
Good for Nothing ,2011
"Good German, The ",2006
"Good Girl, The ",2002
"Good Guy, The ",2009
"Good Guys and the Bad Guys, The ",1969
Good Hair ,2009
Good Kids ,2016
Good Kill ,2014
"Good Life, The ",2007
Good Luck Charlie: The Movie ,2011
Good Luck Chuck ,2007
Good Manners ,2017
Good Morning (Ohayo) ,1959
"Good Morning, Babylon ",1987
"Good Morning, Miss Dove ",1955
"Good Morning, Vietnam ",1987
Good Neighbours ,2010
Good News ,1947
Good Night Good Morning ,2010
"Good Night, and Good Luck. ",2005
"Good Night, The ",2007
Good Ol' Freda ,2013
Good People ,2014
Good Sam ,2019
"Good Shepherd, The ",2006
"Good Son, The ",1993
Good Take Too ,2016
Good Time ,2017
Good Time Max ,2007
Good Vibrations ,2012
Good Will Hunting ,1997
"Good Year, A ",2006
Goodachari ,2018
Goodbye Bafana ,2007
Goodbye Christopher Robin ,2017
Goodbye Emmanuelle ,1977
Goodbye Lover ,1998
Goodbye Solo ,2008
Goodbye to All That ,2014
Goodbye World ,2013
"Goodbye, Columbus ",1969
"Goodbye, Mr. Chips ",2002
"Goodbye, Mr. Chips ",1939
"Goodbye, Mr. Chips ",1969
Goodfellas ,1990
Goodnight for Justice ,2011
Goodnight for Justice: Queen of Hearts ,2013
Goodnight for Justice: The Measure of a Man ,2012
"Goodnight, Charlene ",2017
"Goodnight, Mister Tom ",1998
"Goodnight, Mr. Foot ",2012
"Goods: Live Hard, Sell Hard, The ",2009
"Goofy Movie, A ",1995
Google and the World Brain ,2013
Gook ,2017
Goon ,2011
Goon: Last of the Enforcers ,2017
"Goonies, The ",1985
Goosebumps ,2015
Goosebumps 2: Haunted Halloween ,2018
Gopala Gopala ,2015
Goran ,2016
Gorillas in the Mist ,1988
Gorky Park ,1983
Gorod Zero ,1989
Gosford Park ,2001
Gosnell: The Trial of America's Biggest Serial Killer ,2018
Gospel Hill ,2008
Gospodin za edin den (King for a Day) ,1983
Gossip ,2000
Gost' ,1987
Gosurori Shokeinin (Gothic & Lolita Psycho) ,2010
Gotcher ,2015
Gothika ,2003
Gotta Kick It Up ,2002
Gotti ,1996
Goya's Ghosts ,2006
Goyo: The Boy General ,2018
Grabbers ,2012
Grace ,2009
Grace and Gravity ,2018
"Grace Card, The ",2010
Grace Is Gone ,2007
Grace of Monaco ,2014
Grace Stirs Up Success ,2015
Grace Unplugged ,2013
Gracie ,2007
Gracie's Choice ,2004
Grad ,1963
"Graduate, The ",1967
Graduation ,2007
Graduation Day ,1981
Grain ,2017
"Graine Et Le Mulet, La (The Secret of the Grain) ",2007
Gran Torino ,2008
"Grand amour, Le ",1969
"Grand bleu, Le (The Big Blue) ",1988
Grand Canyon ,1991
Grand Central ,2013
"Grand Day Out With Wallace And Gromit, A ",1989
Grand Hotel ,1932
Grand Masti ,2013
"Grand Meaulnes, Le ",2006
Grand Piano ,2013
Grand Prix ,1966
"Grand restaurant, Le (The Big Restaurant) ",1966
Grand Tour: Disaster in Time ,1992
"Grand, The ",2007
Grand-Daddy Day Care ,2019
"Grande illusion, La (The Grand Illusion) ",1937
"Grande sauterelle, La ",1967
"Grandes Manoeuvres, Les (The Grand Maneuver) ",1955
Grandhotel ,2006
Grandma ,2015
Grandma Got Run Over By A Reindeer ,2000
Grandma's Boy ,2006
Grandpa's Great Escape ,2018
Grandview U.S.A. ,1984
Granny O'Grimm's Sleeping Beauty ,2008
Granny of the Dead ,2017
"Grapes of Wrath, The ",1940
Grass ,2018
Grass is Greener ,2019
"Grass Is Greener, The ",1960
Grasshopper ,2015
Grassroots ,2012
Grave ,2016
Grave Encounters ,2011
Grave Encounters 2 ,2012
"Graves, The ",2010
Gravesend ,1997
Gravity ,2013
Gray Lady Down ,1978
"Gray Man, The ",2007
Gray Matter ,2017
Gray Matters ,2006
Grease ,1978
Grease 2 ,1982
Grease Live! ,2016
Greased Lightning ,1977
"Great American Chase, The ",1979
Great Balls of Fire! ,1989
Great Day ,2011
"Great Debaters, The ",2007
"Great Dictator, The ",1940
"Great Escape, The ",1963
"Great Euro Crash, The ",2012
Great Expectations ,2012
Great Expectations ,1946
Great Expectations ,1999
"Great Gatsby, The ",1974
"Great Global Warming Swindle, The ",2007
Great Grand Masti ,2016
"Great Mouse Detective, The ",1986
"Great Muppet Caper, The ",1981
"Great Outdoors, The ",1988
"Great Race, The ",1965
Greater ,2016
"Greatest Game Ever Played, The ",2005
"Greatest Movie Ever Sold, The ",2011
"Greatest Show On Earth, The ",1952
"Greatest, The ",2009
Greatful Dead ,2013
Greedy ,1994
Green Book ,2018
Green Card ,1990
Green Day: Bullet in a Bible ,2005
Green Fire ,1954
Green for Danger ,1946
Green Grass of Wyoming ,1948
Green Grow the Rushes ,1951
"Green Hornet, The ",2011
Green Lantern ,2011
Green Lantern: Emerald Knights ,2011
Green Lantern: First Flight ,2009
"Green Mile, The ",1999
Green Pastures ,1936
Green Room ,2015
Green Street 3: Never Back Down ,2013
Green Street Hooligans 2 ,2009
Green Zone ,2010
"Green, The ",2011
Greenberg ,2010
Greener Mountains ,2005
Greetings ,1968
Greg Davies: You Magnificent Beast ,2018
Gregoire ,2017
Gregorio ,1982
Gregory's Girl ,1981
Gremlin ,2017
Gremlins ,1984
Gremlins 2: The New Batch ,1990
Gremo mi po svoje (Going Our Way) ,2010
Grenfell ,2018
Greta ,2009
Greta ,2018
Grey Gardens ,1975
Grey Lady ,2017
"Grey Zone, The ",2001
"Grey, The ",2012
Greyfriars Bobby: The True Story of a Dog ,1961
"Greystoke: The Legend of Tarzan, Lord of the Apes ",1984
Gridiron Gang ,2006
Gridlock'd ,1997
Gridlocked ,2015
Grief ,2017
Griff the Invisible ,2010
"Grifters, The ",1990
Grigris ,2013
Grilled ,2006
Grim Reaper ,2007
Grimm's Snow White ,2012
Grindhouse ,2007
Gringo ,2018
Gringo: The Dangerous Life of John McAfee ,2016
Grizzly ,1976
Grizzly Man ,2005
Grizzly Park ,2008
Gromozeka ,2011
Grosse Pointe Blank ,1997
Groundhog Dave ,2019
Groundhog Day ,1993
Group Sex ,2010
Group Text from Hell ,2017
Groupies ,2018
Grow House ,2017
Growing the Big One ,2010
Growing Up and Other Lies ,2014
Grown Ups ,2010
Grown Ups 2 ,2013
Growth ,2009
"Grudge 2, The ",2006
"Grudge 3, The ",2009
Grudge Match ,2013
"Grudge, The ",2004
Grumpier Old Men ,1995
Grumpy Old Men ,1993
Grupo 7 (Unit 7) ,2012
Gruz 200 (Cargo 200) ,2007
GTA.IV.The.Trashmaster ,2010
Guadalcanal Diary ,1943
Guan yin shan (Buddha Mountain) ,2010
Guan yun chang (The Lost Bladesman) ,2011
"Guard, The ",2011
"Guardian, The ",2006
Guardians of the Galaxy ,2014
Guardians of the Galaxy Vol. 2 ,2017
Guarding Tess ,1994
Guava Island ,2019
Guddu Rangeela ,2015
Guernica ,2016
Guernsey ,2005
Gueros ,2014
Guess Who ,2005
Guess Who's Coming to Dinner ,1967
Guest House Paradiso ,1999
"Guest House, the ",2012
Guest iin London ,2017
"Guetteur, Le (The Lookout) ",2012
"Guillotines, The ",2012
"Guilt Trip, The ",2012
Guilty as Sin ,1993
Guilty By Suspicion ,1991
Guinevere ,1999
Guisi (Silk) ,2006
Gulaal ,2009
Gulliver's Travels ,2010
Gully Boy ,2019
"Gumball Rally, The ",1976
Gumby: The Movie ,1995
Gummi T ,2012
Gummo ,1997
Gumshoe ,1971
Gun ,2010
Gun City ,2018
Gun Crazy ,1950
Gun Crazy: Episode 1 - A Woman From Nowhere ,2002
Gun Crazy: Episode 2 - Beyond the Law ,2002
Gun Fury ,1953
Gun No 6 ,2018
Gun Shy ,2000
Gun Shy ,2017
Gun Woman ,2014
Gunda ,1998
Gunday ,2014
Gundermann ,2018
Gunfight at the O.K. Corral ,1957
"Gunfighter, The ",1950
Gunga Din ,1939
Gunga Jumna ,1961
Guni-guni ,2012
Guns for Hire ,2015
Guns Girls And Gambling ,2012
"Guns of Fort Petticoat, The ",1957
"Guns Of Navarone, The ",1961
Guns of the Apocalypse ,2018
Guns of the Magnificent Seven ,1969
Gunter Babysits ,2017
Gupt: The Hidden Truth ,1997
Gurgaon ,2017
Gurotesuku (Grotesque) ,2009
Guru ,2007
Gus ,2013
Gut ,2012
Guter Junge ,2008
Gutland ,2017
Gutshot Straight ,2014
Guy ,2018
Guys and Dolls ,1955
"Gwanghae, Wangyidoen namja ",2012
"Gwanghae, Wangyidoen namja (Masquerade) ",2012
Gwansang ,2013
Gwi-hyang ,2016
Gyakuten saiban (Ace Attorney) ,2012
Gycklarnas afton ,1953
Gyeol-hon-sik-hoo-ae (After the Banquet) ,2009
Gypped in the Penthouse ,1955
Gypsy 83 ,2001
"Gypsy Moths, The ",1969
H Project ,2013
H-8... ,1958
H2oil ,2009
H6: Diario De Un Asesino (H6: Diary of a Serial Killer) ,2005
H8RZ ,2015
Ha yat dik mo mo cha (Summer Holiday) ,2000
Ha-Bayit Berechov Chelouche (The House on Chelouche Street) ,1973
Haapus ,2010
"Hababam Sinifi 3,5 ",2006
Hababam Sinifi Sinifta Kaldi ,1975
Habemus Papam ,2011
Habemus Papam (We Have a Pope) ,2011
Habibie & Ainun ,2012
Habit ,2017
Habit ,1995
Hable con ella ,2002
Hable con Ella (Talk to Her) ,2002
Hachi: A Dog's Tale ,2009
Hachiko: A Dog's Story ,2009
Hack! ,2007
Hack-O-Lantern ,1988
Hacker ,2015
Hacker's Game ,2015
Hacker's Game Redux ,2018
Hackers ,1995
Hackneys Finest ,2014
Hacks ,2012
